sku_nbr,sub_class,sales_units,month,sku_name,model_type
187658,026-001-013-CPVC FITTINGS,29546.914927279664,2026-03-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,21494.393490624923,2026-04-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,19302.14767009072,2026-05-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,23782.708405308294,2026-06-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,17904.691026862194,2026-07-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,18428.81778135025,2026-08-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,23608.25968949192,2026-09-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,19048.814397963528,2026-10-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,17618.171212986956,2026-11-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,26177.07045037817,2026-12-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,24381.341151740286,2027-01-01,1/2_CPVC_TEE_SXSXS,SARIMA
187658,026-001-013-CPVC FITTINGS,21069.59394560654,2027-02-01,1/2_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,12487.852344128682,2026-03-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,9342.852344128682,2026-04-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,8496.852344128682,2026-05-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,10553.852344128682,2026-06-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,8148.85234412868,2026-07-01,3/4_CPVC_TEE_SXSXS,SARIMA
187666,026-001-013-CPVC FITTINGS,8735.852344128682,2026-08-01,3/4_CPVC_TEE_SXSXS,SARIMA
