sku_nbr,sku_name,sub_class,status,n_months,best_model_type,best_avg_mape,best_fold_mapes,n_successful_folds,best_params,n_candidate_models
188085,1_PVC_COUPLING_SXS,026-001-003-PVC FITTINGS,forecasted,38,prophet,5.081852376456277,"[np.float64(12.94798254573151), np.float64(2.294181960102196), np.float64(3.2527352993191907), np.float64(1.8325097006722124)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
188093,1/2_PVC_FEMALE_ADAPTER_SXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,10.485619616116292,"[np.float64(17.101144807798896), np.float64(6.190199882044617), np.float64(12.152632024334132), np.float64(6.498501750287524)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188107,3/4_PVC_FEMALE_ADAPTER_SXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,6.4052434502443285,"[np.float64(6.986438343294853), np.float64(7.620204644665589), np.float64(6.219275882655965), np.float64(4.795054930360909)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188115,1_PVC_FEMALE_ADAPTER_SXFPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,8.899917943955328,"[np.float64(25.789820911913598), np.float64(4.195069411617767), np.float64(3.6730400374479824), np.float64(1.94174141484197)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188123,1/2_PVC_MALE_ADAPTER_SXMPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,10.208228584715739,"[np.float64(22.19110193484219), np.float64(3.61675135005489), np.float64(11.237449666792942), np.float64(3.7876113871729276)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188131,3/4_PVC_MALE_ADAPTER_SXMPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,5.787947762833484,"[np.float64(16.06916799608755), np.float64(1.3583903887008455), np.float64(3.7895016026396706), np.float64(1.9347310639058712)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188158,1_PVC_MALE_ADAPTER_SXMPT,026-001-003-PVC FITTINGS,forecasted,38,prophet,8.21848635242084,"[np.float64(17.78458423246252), np.float64(4.923665563685872), np.float64(5.870661780493913), np.float64(4.295033833041054)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188166,1/2_PVC_CAP_SLIP,026-001-003-PVC FITTINGS,forecasted,38,prophet,7.476359060654261,"[np.float64(18.3787699661892), np.float64(4.830096518301522), np.float64(2.4027712131260204), np.float64(4.293798545000305)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188174,3/4_PVC_CAP_SLIP,026-001-003-PVC FITTINGS,forecasted,38,prophet,6.294696732235781,"[np.float64(9.91753972691466), np.float64(6.299661725081207), np.float64(6.632489874344059), np.float64(2.3290956026032013)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188182,1_PVC_CAP_SLIP,026-001-003-PVC FITTINGS,forecasted,38,prophet,6.181047718741924,"[np.float64(7.672384430096455), np.float64(6.074027474433585), np.float64(6.333826777857698), np.float64(4.6439521925799605)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188239,11/2_ABS_COUPLING_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,6.187024858811885,"[np.float64(11.598310302601277), np.float64(2.9704533597941425), np.float64(7.15233375891855), np.float64(3.0270020139335694)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive'}",26
188247,2_ABS_COUPLING_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,2.9781973413275695,"[np.float64(5.34326601774624), np.float64(2.3841120793666013), np.float64(1.1361946024892364), np.float64(3.049216665708202)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188255,3_ABS_COUPLING_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,6.724896166088383,"[np.float64(12.533192094150762), np.float64(5.654906086166629), np.float64(3.227506901927614), np.float64(5.483979582108528)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188263,4_ABS_COUPLING_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,6.328334197177082,"[np.float64(8.76255737825208), np.float64(4.724060756866633), np.float64(4.949969394663474), np.float64(6.87674925892614)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188271,2X11/2_ABS_FLUSH_BUSHING_SPGXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,6.2753993193483115,"[np.float64(5.092842786714686), np.float64(9.369845474428766), np.float64(1.549594899204349), np.float64(9.089314117045449)]",4,"{'order': (1, 1, 0), 'seasonal_order': (0, 1, 1, 12)}",26
188344,11/2_ABS_MALE_ADAPTER_HXMPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,7.804767418036103,"[np.float64(19.563012024491023), np.float64(4.767103887426791), np.float64(4.1545143502657185), np.float64(2.734439409960877)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
188387,11/2_ABS_FEMALE_ADAPTER_HXFPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,5.087847354506855,"[np.float64(8.990744167084026), np.float64(2.974087895173741), np.float64(1.9098843109105015), np.float64(6.476673044859154)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
188409,3_ABS_FEMALE_ADAPTER_HXFPT,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,5.358032371807065,"[np.float64(8.1826380268906), np.float64(2.710252277606889), np.float64(3.54162783283244), np.float64(6.997611349898332)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188425,11/2_ABS_CLEANOUT_ADAPTER_SPGXFPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,8.423686659379158,"[np.float64(10.648438432195308), np.float64(6.137853732423984), np.float64(11.941674776648444), np.float64(4.966779696248899)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188476,11/2_ABS_CLEANOUT_PLUG_MPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,5.8991297700759215,"[np.float64(4.768175562827437), np.float64(5.978231177768043), np.float64(6.679709842503402), np.float64(6.170402497204805)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188484,2_ABS_CLEANOUT_PLUG_MPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,7.246308846375027,"[np.float64(12.269051650043865), np.float64(2.5380745020960798), np.float64(5.039262390279602), np.float64(9.138846843080561)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188492,3_ABS_CLEANOUT_PLUG_MPT,026-001-005-ABS FITTINGS,forecasted,38,prophet,6.177935255289636,"[np.float64(4.279135535267134), np.float64(5.443748281517522), np.float64(5.583519254964851), np.float64(9.405337949409038)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
188514,11/2_ABS_EL_45DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,5.309075132134273,"[np.float64(5.580828429258087), np.float64(1.867612872126077), np.float64(2.565123146900647), np.float64(11.22273608025228)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
188522,2_ABS_EL_45DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,3.0336938364993618,"[np.float64(3.3584405131362507), np.float64(3.621538153485287), np.float64(0.35934019514716214), np.float64(4.7954564842287475)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188530,3_ABS_EL_45DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,4.101848002951763,"[np.float64(2.845957604936718), np.float64(0.9870865756983738), np.float64(8.055168153534925), np.float64(4.519179677637034)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188557,11/2_ABS_EL_45DEG_STREET_HXSPG,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,4.141511214263617,"[np.float64(9.54987834125855), np.float64(3.7690360281744044), np.float64(1.4546903328342673), np.float64(1.7924401547872437)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188565,2_ABS_EL_45DEG_STREET_HXSPG,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,9.271721185819509,"[np.float64(18.480482690341624), np.float64(3.4875032524743785), np.float64(4.098970054169627), np.float64(11.0199287462924)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188573,3_ABS_EL_45DEG_STREET_HXSPG,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,4.4927974711778855,"[np.float64(4.780953926369072), np.float64(6.106223938125832), np.float64(4.363104659608575), np.float64(2.720907360608061)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188603,11/2_ABS_EL_90DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,4.863250214689174,"[np.float64(10.030535273554134), np.float64(1.5262014205190073), np.float64(2.52013141131992), np.float64(5.376132753363633)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative'}",26
188611,2_ABS_EL_90DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,6.2949780850377755,"[np.float64(7.947654255296961), np.float64(6.378843818810742), np.float64(3.6863076190258712), np.float64(7.167106647017525)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188638,3_ABS_EL_90DEG_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,5.034237481105168,"[np.float64(7.568257065121653), np.float64(2.62392953233315), np.float64(5.04278354555001), np.float64(4.90197978141586)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188654,11/2_ABS_EL_90DEG_LONG_SWEEP_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,6.153018545632042,"[np.float64(9.678333034935356), np.float64(5.240708574578288), np.float64(2.379535724907171), np.float64(7.313496848107352)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188662,2_ABS_EL_90DEG_LONG_SWEEP_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,3.3439554422940754,"[np.float64(4.95988521286872), np.float64(2.0440632525581828), np.float64(4.208412736619016), np.float64(2.1634605671303815)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188670,3_ABS_EL_90DEG_LONG_SWEEP_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,3.082172316284989,"[np.float64(3.4761003954185674), np.float64(1.6784214447003651), np.float64(2.1217327141638114), np.float64(5.052434710857214)]",4,"{'order': (0, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188700,2_ABS_WYE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,5.1152195070377635,"[np.float64(12.013576532867688), np.float64(3.7314802937285707), np.float64(2.4199762140658545), np.float64(2.2958449874889415)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188719,3_ABS_WYE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,4.649056775390121,"[np.float64(10.741791039096709), np.float64(4.558065207975883), np.float64(1.3728515599279072), np.float64(1.9235192945599828)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188751,11/2_ABS_SANI_TEE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,8.465798957185427,"[np.float64(19.299941556831428), np.float64(4.107825018697123), np.float64(1.8158967591012865), np.float64(8.639532494111869)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188778,2_ABS_SANI_TEE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,4.487106888191256,"[np.float64(10.344708546947233), np.float64(1.2361561066003337), np.float64(3.188781805324175), np.float64(3.178781093893284)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188786,3_ABS_SANI_TEE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,3.703810015162787,"[np.float64(2.9821275136853873), np.float64(5.700715734715957), np.float64(3.1849421079827946), np.float64(2.9474547042670074)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188816,3X2_ABS_SANI_TEE_HXHXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,6.333550504465503,"[np.float64(7.921525207217004), np.float64(3.256603576668867), np.float64(4.175650753359398), np.float64(9.98042248061674)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 0, 12)}",26
188867,11/2_ABS_PTRAP_W/UNION_HXH,026-001-005-ABS FITTINGS,forecasted,38,prophet,4.2655423437005595,"[np.float64(5.945115427915509), np.float64(3.235823689545816), np.float64(1.485780428385204), np.float64(6.395449828955707)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
188875,2_ABS_PTRAP_W/UNION_HXH,026-001-005-ABS FITTINGS,forecasted,38,SARIMA,8.114240464811598,"[np.float64(16.092827731183046), np.float64(7.2615214770137255), np.float64(4.3766040925772804), np.float64(4.726008558472334)]",4,"{'order': (1, 1, 1), 'seasonal_order': (0, 1, 1, 12)}",26
188891,11/2_ABS_TRAP_ADAPTER_HXSJ,026-001-005-ABS FITTINGS,forecasted,38,prophet,3.218387076281391,"[np.float64(4.169113695318858), np.float64(2.044886471371475), np.float64(1.0624980850217765), np.float64(5.597050053413454)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
188921,11/2X11/4_ABS_TRAP_ADAPTER_HXSJ,026-001-005-ABS FITTINGS,forecasted,38,prophet,4.3466223110831805,"[np.float64(10.886810683286889), np.float64(2.6779475199213243), np.float64(1.6250164450767717), np.float64(2.196714596047735)]",4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'multiplicative'}",26
188956,11/2_ABS_TRAP_ADAPTER_SPGXSJ,026-001-005-ABS FITTINGS,forecasted,38,prophet,10.368506313561792,"[np.float64(14.5337082338258), np.float64(12.256357055430966), np.float64(8.694344234644511), np.float64(5.989615730345886)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative'}",26
189022,2_DWV_COUPLING_HXH,026-001-031-DWV FITTINGS,forecasted,38,prophet,5.647142964143652,"[np.float64(10.301479676299186), np.float64(3.576680016573159), np.float64(4.871413152197763), np.float64(3.838999011504498)]",4,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0, 'seasonality_mode': 'additive'}",26
189049,4_DWV_COUPLING_HXH,026-001-031-DWV FITTINGS,forecasted,38,prophet,4.406525937690851,"[np.float64(7.273857575708844), np.float64(4.077857880309515), np.float64(2.5041676391978425), np.float64(3.7702206555472073)]",4,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive'}",26
